dataset,file,round,source_run_id,sensor,filter,peak_height_nA,peak_voltage_mV,sigma_baseline_nA,snr,baseline_slope_nA_per_mV
sensor135_previous,pbsblank135run2.csv,2,2,3,avg3,171.74243068847164,-246.037,8.936198259834217,19.218735495205742,0.026616674777156974
sensor135_previous,pbsblank135run2.csv,2,2,3,smooth5,165.2249044457904,-240.665,8.689365186388372,19.01461164327749,0.026822290363369534
sensor135_previous,pbsblank135run2.csv,2,2,3,smooth7,159.09004167171415,-246.037,8.35511721604041,19.04103049162353,0.026530352229368944
sensor135_previous,pbsblank135run2.csv,2,2,3,sg5,172.64585867958812,-246.037,9.18071766985181,18.80526826857261,0.0268001773848949
sensor135_previous,pbsblank135run2.csv,2,3,5,raw,170.00735251362812,-246.037,8.462775392443294,20.088841382394904,-0.11860881714775627
sensor135_previous,pbsblank135run2.csv,2,3,5,avg3,167.10495768221278,-251.409,7.466493247306711,22.380648069626304,-0.11766281377036472
sensor135_previous,pbsblank135run2.csv,2,3,5,smooth5,163.64014395315974,-251.409,7.4557811019579106,21.948088565822747,-0.11704933297794506
sensor135_previous,pbsblank135run2.csv,2,3,5,smooth7,159.8160323209599,-251.409,7.779887811360248,20.54220268929783,-0.11663267734468066
sensor135_previous,pbsblank135run2.csv,2,3,5,sg5,168.42870265639868,-251.409,7.443063387165624,22.628949116143108,-0.1180605102064287
sensor135_previous,pbsblank135run3.csv,3,1,1,raw,217.6989275590551,-256.781,14.11093603414317,15.427674466974082,0.023293222862291987
sensor135_previous,pbsblank135run3.csv,3,1,1,avg3,213.4335817080557,-251.409,8.86082804183368,24.087317878238306,0.020378091664024555
sensor135_previous,pbsblank135run3.csv,3,1,1,smooth5,207.81923062386429,-246.037,7.6097224349636345,27.30969919073762,0.021315707937561715
sensor135_previous,pbsblank135run3.csv,3,1,1,smooth7,203.65398797265726,-246.037,7.136706862821176,28.53612904203716,0.01896931786384824
sensor135_previous,pbsblank135run3.csv,3,1,1,sg5,215.3627866643592,-251.409,10.023258350568653,21.486305064873534,0.02039180143148815
sensor135_previous,pbsblank135run3.csv,3,2,3,raw,157.96998522107813,-229.921,12.120810964473717,13.032955112004517,-0.03579123282308652
sensor135_previous,pbsblank135run3.csv,3,2,3,avg3,153.39623601857457,-235.293,7.69207453687841,19.942115132028565,-0.04025470096494535
sensor135_previous,pbsblank135run3.csv,3,2,3,smooth5,152.6371144760751,-240.665,6.836799700147824,22.325813417171606,-0.03754499292605889
sensor135_previous,pbsblank135run3.csv,3,2,3,smooth7,149.91622774076316,-246.037,6.554801260746883,22.87120871818485,-0.03747238186383121
sensor135_previous,pbsblank135run3.csv,3,2,3,sg5,155.1420952842433,-229.921,8.269936700270806,18.759768170796647,-0.04077849496145592
sensor135_previous,pbsblank135run3.csv,3,3,5,raw,162.99255562285487,-262.153,14.406963489263386,11.313456561774665,-0.0914300756222415
sensor135_previous,pbsblank135run3.csv,3,3,5,avg3,160.4516444579043,-262.153,8.38814994822686,19.128371029159005,-0.08389152899504035
sensor135_previous,pbsblank135run3.csv,3,3,5,smooth5,158.3629437674137,-256.781,8.01997118221037,19.746073915912447,-0.08512926497911345
sensor135_previous,pbsblank135run3.csv,3,3,5,smooth7,152.29469343832022,-251.409,8.172027472802744,18.636096604566113,-0.08587424051803358
sensor135_previous,pbsblank135run3.csv,3,3,5,sg5,164.1370544547317,-262.153,9.500271226824825,17.277091415166836,-0.08443859869197431
sensor135_previous,pbsblank135run4.csv,4,1,1,raw,204.5261670502726,-256.781,12.640911577831055,16.179700790642304,-0.0005424933315834533
sensor135_previous,pbsblank135run4.csv,4,1,1,avg3,199.52673406016558,-251.409,7.412561703471603,26.91737917901164,0.0007601461181119005
sensor135_previous,pbsblank135run4.csv,4,1,1,smooth5,194.99151570361394,-251.409,7.072442305528492,27.57060535526604,0.00037814728740555065
sensor135_previous,pbsblank135run4.csv,4,1,1,smooth7,187.48931823714344,-251.409,7.473243257711748,25.088079134005238,0.00031281279427101293
sensor135_previous,pbsblank135run4.csv,4,1,1,sg5,201.57381481237914,-251.409,7.796297016217418,25.8550712463977,0.0007390700110020456
sensor135_previous,pbsblank135run4.csv,4,2,3,raw,192.482474863719,-240.665,14.646668796513387,13.1417237283019,0.04027843110194882
sensor135_previous,pbsblank135run4.csv,4,2,3,avg3,174.45743076923077,-246.037,8.154727314669408,21.393410722073085,0.037227218053725884
sensor135_previous,pbsblank135run4.csv,4,2,3,smooth5,169.6046609812235,-240.665,7.6740670115859215,22.101013807302294,0.03749458010285517
sensor135_previous,pbsblank135run4.csv,4,2,3,smooth7,165.10623068270314,-240.665,7.470447749010392,22.101249647931038,0.03735964787436115
sensor135_previous,pbsblank135run4.csv,4,2,3,sg5,176.9452340272851,-246.037,8.558102303283283,20.675755880997208,0.037547983917669864
sensor135_previous,pbsblank135run4.csv,4,3,5,raw,190.84551395114073,-251.409,12.958131267120617,14.727857745613644,-0.06395895054615398
sensor135_previous,pbsblank135run4.csv,4,3,5,avg3,187.4338409852615,-246.037,9.614381200424384,19.495153882289173,-0.06855870348814219
sensor135_previous,pbsblank135run4.csv,4,3,5,smooth5,180.8394146012518,-251.409,8.841383176453576,20.453746997739493,-0.06837190514138942
sensor135_previous,pbsblank135run4.csv,4,3,5,smooth7,179.11551568169364,-251.409,8.425725522153925,21.25817120564178,-0.07042447597996651
sensor135_previous,pbsblank135run4.csv,4,3,5,sg5,189.68410253410616,-246.037,10.198048891563442,18.600038551592597,-0.06798020915808695
